conv0/Conv2D 1,3,331,331@0x6febc3b810; 1,96,165,165@0x6febc3b860; none 1;4;13;26;49;
cell_stem_1/comb_iter_0/right/separable_7x7_1/separable_conv2d 1,84,42,42@0x6febc3cf30; 1,84,42,42@0x6febc3cf80; 89; 91;
cell_stem_1/comb_iter_0/right/separable_7x7_2/separable_conv2d/depthwise 1,84,42,42@0x6febc3cf80; 1,84,42,42@0x6febc3cfd0; 90; 92;
cell_stem_1/comb_iter_0/right/separable_7x7_2/separable_conv2d 1,84,42,42@0x6febc3cfd0; 1,84,42,42@0x6febc3d020; 91; 93;
cell_stem_1/comb_iter_0/combine/add 1,84,42,42@0x6febc3ce90;1,84,42,42@0x6febc3d020; 1,84,42,42@0x6febc3d070; 87;92; 94;97;
cell_stem_1/comb_iter_3/right/AvgPool2D/AvgPool 1,84,42,42@0x6febc3d070; 1,84,42,42@0x6febc3d0c0; 93; 95;
cell_stem_1/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_stem_1/comb_iter_3/combine/add 1,84,42,42@0x6febc3d0c0; 1,84,42,42@0x6fd13fe510; 94; 96;
cell_stem_1/comb_iter_3/combine/add 1,84,42,42@0x6febc3cad0;1,84,42,42@0x6fd13fe510; 1,84,42,42@0x6febc3d110; 73;95; 106;
cell_stem_1/comb_iter_4/left/Relu 1,84,42,42@0x6febc3d070; 1,84,42,42@0x6febc3d160; 93; 98;
cell_stem_1/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,84,42,42@0x6febc3d160; 1,84,42,42@0x6febc3d1b0; 97; 99;
cell_stem_1/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,84,42,42@0x6febc3d1b0; 1,84,42,42@0x6febc3d200; 98; 100;
cell_stem_1/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,84,42,42@0x6febc3d200; 1,84,42,42@0x6febc3d250; 99; 101;
cell_stem_1/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,84,42,42@0x6febc3d250; 1,84,42,42@0x6febc3d2a0; 100; 103;
cell_stem_1/comb_iter_4/right/MaxPool2D/MaxPool 1,84,83,83@0x6febc3c490; 1,84,42,42@0x6febc3d2f0; 47; 104;
cell_stem_1/comb_iter_4/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_4/combine/add 1,84,42,42@0x6febc3d2a0; 1,84,42,42@0x6fd13fe560; 101; 105;
cell_stem_1/comb_iter_4/right/MaxPool2D/MaxPool___tr4cell_stem_1/comb_iter_4/combine/add 1,84,42,42@0x6febc3d2f0; 1,84,42,42@0x6fd13fe5b0; 102; 105;
cell_stem_1/comb_iter_4/combine/add 1,84,42,42@0x6fd13fe560;1,84,42,42@0x6fd13fe5b0; 1,84,42,42@0x6febc3d340; 103;104; 106;
cell_stem_1/cell_output/concat 1,84,42,42@0x6febc3cad0;1,84,42,42@0x6febc3cd00;1,84,42,42@0x6febc3d110;1,84,42,42@0x6febc3d340; 1,336,42,42@0x6febc3d390; 73;82;96;105; 107;125;
