conv0/Conv2D 1,3,224,224@0x7d7ac3b810; 1,32,111,111@0x7d7ac3b860; none 1;4;13;26;49;
cell_stem_1/comb_iter_0/combine/add 1,22,28,28@0x7d7ac3ce90;1,22,28,28@0x7d7ac3d020; 1,22,28,28@0x7d7ac3d070; 87;92; 94;97;
cell_stem_1/comb_iter_3/right/AvgPool2D/AvgPool 1,22,28,28@0x7d7ac3d070; 1,22,28,28@0x7d7ac3d0c0; 93; 95;
cell_stem_1/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_stem_1/comb_iter_3/combine/add 1,22,28,28@0x7d7ac3d0c0; 1,22,28,28@0x7d7ac1bdd0; 94; 96;
cell_stem_1/comb_iter_3/combine/add 1,22,28,28@0x7d7ac3cad0;1,22,28,28@0x7d7ac1bdd0; 1,22,28,28@0x7d7ac3d110; 73;95; 106;
cell_stem_1/comb_iter_4/left/Relu 1,22,28,28@0x7d7ac3d070; 1,22,28,28@0x7d7ac3d160; 93; 98;
cell_stem_1/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,22,28,28@0x7d7ac3d160; 1,22,28,28@0x7d7ac3d1b0; 97; 99;
cell_stem_1/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,22,28,28@0x7d7ac3d1b0; 1,22,28,28@0x7d7ac3d200; 98; 100;
cell_stem_1/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,22,28,28@0x7d7ac3d200; 1,22,28,28@0x7d7ac3d250; 99; 101;
cell_stem_1/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,22,28,28@0x7d7ac3d250; 1,22,28,28@0x7d7ac3d2a0; 100; 103;
cell_stem_1/comb_iter_4/right/MaxPool2D/MaxPool 1,22,56,56@0x7d7ac3c490; 1,22,28,28@0x7d7ac3d2f0; 47; 104;
cell_stem_1/comb_iter_4/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_stem_1/comb_iter_4/combine/add 1,22,28,28@0x7d7ac3d2a0; 1,22,28,28@0x7d7ac1be20; 101; 105;
cell_stem_1/comb_iter_4/right/MaxPool2D/MaxPool___tr4cell_stem_1/comb_iter_4/combine/add 1,22,28,28@0x7d7ac3d2f0; 1,22,28,28@0x7d7ac1be70; 102; 105;
cell_stem_1/comb_iter_4/combine/add 1,22,28,28@0x7d7ac1be20;1,22,28,28@0x7d7ac1be70; 1,22,28,28@0x7d7ac3d340; 103;104; 106;
cell_stem_1/cell_output/concat 1,22,28,28@0x7d7ac3cad0;1,22,28,28@0x7d7ac3cd00;1,22,28,28@0x7d7ac3d110;1,22,28,28@0x7d7ac3d340; 1,88,28,28@0x7d7ac3d390; 73;82;96;105; 107;125;
cell_1/Relu 1,88,28,28@0x7d7ac3d390; 1,88,28,28@0x7d7ac3d3e0; 106; 108;
cell_1/Relu___tr4cell_1/prev_1x1/Conv2D 1,88,28,28@0x7d7ac3d3e0; 1,88,28,28@0x7d7ac1bec0; 107; 109;
