conv0/Conv2D 1,3,224,224@0x7d7ac3b810; 1,32,111,111@0x7d7ac3b860; none 1;4;13;26;49;
cell_7/comb_iter_2/left/AvgPool2D/AvgPool 1,88,14,14@0x7d783ffb00; 1,88,14,14@0x7d7ac17230; 496; 520;
cell_7/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_7/comb_iter_2/combine/add 1,88,14,14@0x7d7ac17230; 1,88,14,14@0x7d7adfb090; 519; 522;
cell_7/prev_bn/FusedBatchNormV3___tr4cell_7/comb_iter_2/combine/add 1,88,14,14@0x7d783fee80; 1,88,14,14@0x7d7adfb0e0; 450; 522;
cell_7/comb_iter_2/combine/add 1,88,14,14@0x7d7adfb090;1,88,14,14@0x7d7adfb0e0; 1,88,14,14@0x7d7ac17280; 520;521; 534;
cell_7/comb_iter_3/left/AvgPool2D/AvgPool 1,88,14,14@0x7d783fee80; 1,88,14,14@0x7d7ac172d0; 450; 525;
cell_7/comb_iter_3/right/AvgPool2D/AvgPool 1,88,14,14@0x7d783fee80; 1,88,14,14@0x7d7ac17320; 450; 526;
cell_7/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_7/comb_iter_3/combine/add 1,88,14,14@0x7d7ac172d0; 1,88,14,14@0x7d7adfb130; 523; 527;
cell_7/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_7/comb_iter_3/combine/add 1,88,14,14@0x7d7ac17320; 1,88,14,14@0x7d7adfb180; 524; 527;
cell_7/comb_iter_3/combine/add 1,88,14,14@0x7d7adfb130;1,88,14,14@0x7d7adfb180; 1,88,14,14@0x7d7ac17370; 525;526; 535;
cell_7/comb_iter_4/left/Relu 1,88,14,14@0x7d783ffb00; 1,88,14,14@0x7d7ac173c0; 496; 529;
cell_7/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,88,14,14@0x7d7ac173c0; 1,88,14,14@0x7d7ac17410; 528; 530;
cell_7/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,88,14,14@0x7d7ac17410; 1,88,14,14@0x7d7ac17460; 529; 531;
cell_7/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,88,14,14@0x7d7ac17460; 1,88,14,14@0x7d7ac174b0; 530; 532;
cell_7/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,88,14,14@0x7d7ac174b0; 1,88,14,14@0x7d7ac17500; 531; 533;
cell_7/comb_iter_4/combine/add 1,88,14,14@0x7d7ac17500;1,88,14,14@0x7d783ffb00; 1,88,14,14@0x7d7ac17550; 496;532; 536;
cell_7/comb_iter_2/combine/add___tr4cell_7/cell_output/concat 1,88,14,14@0x7d7ac17280; 1,88,14,14@0x7d7adfb1d0; 522; 536;
cell_7/comb_iter_3/combine/add___tr4cell_7/cell_output/concat 1,88,14,14@0x7d7ac17370; 1,88,14,14@0x7d7adfb220; 527; 536;
cell_7/cell_output/concat 1,88,14,14@0x7d783fee80;1,88,14,14@0x7d783ffe70;1,88,14,14@0x7d7ac171e0;1,88,14,14@0x7d7adfb1d0;1,88,14,14@0x7d7adfb220;1,88,14,14@0x7d7ac17550; 1,528,14,14@0x7d7ac175a0; 450;507;518;533;534;535; 537;586;
reduction_cell_1/Relu_1 1,528,14,14@0x7d7ac175a0; 1,528,14,14@0x7d7ac175f0; 536; 538;
reduction_cell_1/1x1/Conv2D 1,528,14,14@0x7d7ac175f0; 1,176,14,14@0x7d7ac17640; 537; 539;550;559;578;
reduction_cell_1/comb_iter_1/left/MaxPool2D/MaxPool 1,176,14,14@0x7d7ac17640; 1,176,7,7@0x7d7ac17690; 538; 547;
reduction_cell_1/Relu 1,528,14,14@0x7d783ffa60; 1,528,14,14@0x7d7ac176e0; 494; 541;
reduction_cell_1/prev_1x1/Conv2D 1,528,14,14@0x7d7ac176e0; 1,176,14,14@0x7d7ac17730; 540; 542;551;564;
reduction_cell_1/comb_iter_1/right/Relu 1,176,14,14@0x7d7ac17730; 1,176,14,14@0x7d7ac17780; 541; 543;
reduction_cell_1/comb_iter_1/right/separable_7x7_1/separable_conv2d/depthwise 1,176,14,14@0x7d7ac17780; 1,176,7,7@0x7d7ac177d0; 542; 544;
reduction_cell_1/comb_iter_1/right/separable_7x7_1/separable_conv2d 1,176,7,7@0x7d7ac177d0; 1,176,7,7@0x7d7ac17820; 543; 545;
reduction_cell_1/comb_iter_1/right/separable_7x7_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac17820; 1,176,7,7@0x7d7ac17870; 544; 546;
reduction_cell_1/comb_iter_1/right/separable_7x7_2/separable_conv2d 1,176,7,7@0x7d7ac17870; 1,176,7,7@0x7d7ac178c0; 545; 548;
reduction_cell_1/comb_iter_1/left/MaxPool2D/MaxPool___tr4reduction_cell_1/comb_iter_1/combine/add 1,176,7,7@0x7d7ac17690; 1,176,7,7@0x7d7adfb270; 539; 549;
reduction_cell_1/comb_iter_1/right/bn_sep_7x7_2/FusedBatchNormV3___tr4reduction_cell_1/comb_iter_1/combine/add 1,176,7,7@0x7d7ac178c0; 1,176,7,7@0x7d7adfb2c0; 546; 549;
reduction_cell_1/comb_iter_1/combine/add 1,176,7,7@0x7d7adfb270;1,176,7,7@0x7d7adfb2c0; 1,176,7,7@0x7d7ac17910; 547;548; 572;582;
reduction_cell_1/comb_iter_2/left/AvgPool2D/AvgPool 1,176,14,14@0x7d7ac17640; 1,176,7,7@0x7d7ac17960; 538; 556;
reduction_cell_1/comb_iter_2/right/Relu 1,176,14,14@0x7d7ac17730; 1,176,14,14@0x7d7ac179b0; 541; 552;
reduction_cell_1/comb_iter_2/right/separable_5x5_1/separable_conv2d/depthwise 1,176,14,14@0x7d7ac179b0; 1,176,7,7@0x7d7ac17a00; 551; 553;
reduction_cell_1/comb_iter_2/right/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac17a00; 1,176,7,7@0x7d7ac17a50; 552; 554;
reduction_cell_1/comb_iter_2/right/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac17a50; 1,176,7,7@0x7d7ac17aa0; 553; 555;
reduction_cell_1/comb_iter_2/right/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac17aa0; 1,176,7,7@0x7d7ac17af0; 554; 557;
reduction_cell_1/comb_iter_2/left/AvgPool2D/AvgPool___tr4reduction_cell_1/comb_iter_2/combine/add 1,176,7,7@0x7d7ac17960; 1,176,7,7@0x7d7adfb310; 550; 558;
reduction_cell_1/comb_iter_2/right/bn_sep_5x5_2/FusedBatchNormV3___tr4reduction_cell_1/comb_iter_2/combine/add 1,176,7,7@0x7d7ac17af0; 1,176,7,7@0x7d7adfb360; 555; 558;
reduction_cell_1/comb_iter_2/combine/add 1,176,7,7@0x7d7adfb310;1,176,7,7@0x7d7adfb360; 1,176,7,7@0x7d7ac17b40; 556;557; 582;
reduction_cell_1/comb_iter_0/left/Relu 1,176,14,14@0x7d7ac17640; 1,176,14,14@0x7d7ac17b90; 538; 560;
reduction_cell_1/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,176,14,14@0x7d7ac17b90; 1,176,7,7@0x7d7ac17be0; 559; 561;
reduction_cell_1/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac17be0; 1,176,7,7@0x7d7ac17c30; 560; 562;
reduction_cell_1/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac17c30; 1,176,7,7@0x7d7ac17c80; 561; 563;
reduction_cell_1/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac17c80; 1,176,7,7@0x7d7ac17cd0; 562; 569;
reduction_cell_1/comb_iter_0/right/Relu 1,176,14,14@0x7d7ac17730; 1,176,14,14@0x7d7ac17d20; 541; 565;
reduction_cell_1/comb_iter_0/right/separable_7x7_1/separable_conv2d/depthwise 1,176,14,14@0x7d7ac17d20; 1,176,7,7@0x7d7ac17d70; 564; 566;
reduction_cell_1/comb_iter_0/right/separable_7x7_1/separable_conv2d 1,176,7,7@0x7d7ac17d70; 1,176,7,7@0x7d7ac17dc0; 565; 567;
reduction_cell_1/comb_iter_0/right/separable_7x7_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac17dc0; 1,176,7,7@0x7d7ac17e10; 566; 568;
reduction_cell_1/comb_iter_0/right/separable_7x7_2/separable_conv2d 1,176,7,7@0x7d7ac17e10; 1,176,7,7@0x7d7ac17e60; 567; 569;
reduction_cell_1/comb_iter_0/combine/add 1,176,7,7@0x7d7ac17cd0;1,176,7,7@0x7d7ac17e60; 1,176,7,7@0x7d7ac17eb0; 563;568; 570;573;
reduction_cell_1/comb_iter_3/right/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac17eb0; 1,176,7,7@0x7d7ac17f00; 569; 571;
reduction_cell_1/comb_iter_3/right/AvgPool2D/AvgPool___tr4reduction_cell_1/comb_iter_3/combine/add 1,176,7,7@0x7d7ac17f00; 1,176,7,7@0x7d7adfb3b0; 570; 572;
reduction_cell_1/comb_iter_3/combine/add 1,176,7,7@0x7d7ac17910;1,176,7,7@0x7d7adfb3b0; 1,176,7,7@0x7d7ac17f50; 549;571; 582;
reduction_cell_1/comb_iter_4/left/Relu 1,176,7,7@0x7d7ac17eb0; 1,176,7,7@0x7d7ac17fa0; 569; 574;
reduction_cell_1/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac17fa0; 1,176,7,7@0x7d7ac17ff0; 573; 575;
reduction_cell_1/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac17ff0; 1,176,7,7@0x7d7ac18040; 574; 576;
reduction_cell_1/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18040; 1,176,7,7@0x7d7ac18090; 575; 577;
reduction_cell_1/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac18090; 1,176,7,7@0x7d7ac180e0; 576; 579;
reduction_cell_1/comb_iter_4/right/MaxPool2D/MaxPool 1,176,14,14@0x7d7ac17640; 1,176,7,7@0x7d7ac18130; 538; 580;
reduction_cell_1/comb_iter_4/left/bn_sep_3x3_2/FusedBatchNormV3___tr4reduction_cell_1/comb_iter_4/combine/add 1,176,7,7@0x7d7ac180e0; 1,176,7,7@0x7d7adfb400; 577; 581;
reduction_cell_1/comb_iter_4/right/MaxPool2D/MaxPool___tr4reduction_cell_1/comb_iter_4/combine/add 1,176,7,7@0x7d7ac18130; 1,176,7,7@0x7d7adfb450; 578; 581;
reduction_cell_1/comb_iter_4/combine/add 1,176,7,7@0x7d7adfb400;1,176,7,7@0x7d7adfb450; 1,176,7,7@0x7d7ac18180; 579;580; 582;
reduction_cell_1/cell_output/concat 1,176,7,7@0x7d7ac17910;1,176,7,7@0x7d7ac17b40;1,176,7,7@0x7d7ac17f50;1,176,7,7@0x7d7ac18180; 1,704,7,7@0x7d7ac181d0; 549;558;572;581; 583;603;
cell_9/Relu 1,704,7,7@0x7d7ac181d0; 1,704,7,7@0x7d7ac18220; 582; 584;
cell_9/Relu___tr4cell_9/prev_1x1/Conv2D 1,704,7,7@0x7d7ac18220; 1,704,7,7@0x7d7adfb4a0; 583; 585;
cell_9/prev_1x1/Conv2D 1,704,7,7@0x7d7adfb4a0; 1,176,7,7@0x7d7ac18270; 584; 653;659;664;672;674;675;687;
cell_8/Relu 1,528,14,14@0x7d7ac175a0; 1,528,14,14@0x7d7ac182c0; 536; 587;592;
cell_8/AvgPool2D 1,528,14,14@0x7d7ac182c0; 1,528,7,7@0x7d7ac18310; 586; 588;
cell_8/path1_conv/Conv2D 1,528,7,7@0x7d7ac18310; 1,88,7,7@0x7d7ac18360; 587; 601;
cell_8/Pad/paddings none 4,0,2,0@0x7d7ac183b0; none 591;
cell_8/Pad_Gather_Index none 4,0,0,0@0x7d7ac1b8d0; none 591;
cell_8/Pad_Gather 4,0,2,0@0x7d7ac183b0;4,0,0,0@0x7d7ac1b8d0; 4,0,2,0@0x7d7ac1b920; 589;590; 592;
cell_8/Pad 1,528,14,14@0x7d7ac182c0;4,0,2,0@0x7d7ac1b920; 1,528,15,15@0x7d7ac18400; 586;591; 596;
cell_8/strided_slice/stack none 4,0,0,0@0x7d7ac18450; none 597;
cell_8/strided_slice/stack_1 none 4,0,0,0@0x7d7ac184a0; none 597;
cell_8/strided_slice/stack_2 none 4,0,0,0@0x7d7ac184f0; none 597;
cell_8/Pad___tr4cell_8/strided_slice 1,528,15,15@0x7d7ac18400; 1,528,15,15@0x7d7adfb4f0; 592; 597;
cell_8/strided_slice 1,528,15,15@0x7d7adfb4f0;4,0,0,0@0x7d7ac18450;4,0,0,0@0x7d7ac184a0;4,0,0,0@0x7d7ac184f0; 1,528,14,14@0x7d7ac18540; 593;594;595;596; 598;
cell_8/strided_slice___tr4cell_8/AvgPool2D_1 1,528,14,14@0x7d7ac18540; 1,528,14,14@0x7d7adfb540; 597; 599;
cell_8/AvgPool2D_1 1,528,14,14@0x7d7adfb540; 1,528,7,7@0x7d7ac18590; 598; 600;
cell_8/path2_conv/Conv2D 1,528,7,7@0x7d7ac18590; 1,88,7,7@0x7d7ac185e0; 599; 601;
cell_8/concat 1,88,7,7@0x7d7ac18360;1,88,7,7@0x7d7ac185e0; 1,176,7,7@0x7d7ac18630; 588;600; 602;
cell_8/final_path_bn/FusedBatchNormV3 1,176,7,7@0x7d7ac18630; 1,176,7,7@0x7d7ac18680; 601; 611;617;622;630;632;633;645;
cell_8/Relu_1 1,704,7,7@0x7d7ac181d0; 1,704,7,7@0x7d7ac186d0; 582; 604;
cell_8/Relu_1___tr4cell_8/1x1/Conv2D 1,704,7,7@0x7d7ac186d0; 1,704,7,7@0x7d7adfb590; 603; 605;
cell_8/1x1/Conv2D 1,704,7,7@0x7d7adfb590; 1,176,7,7@0x7d7ac18720; 604; 606;628;637;642;
cell_8/comb_iter_0/left/Relu 1,176,7,7@0x7d7ac18720; 1,176,7,7@0x7d7ac18770; 605; 607;
cell_8/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18770; 1,176,7,7@0x7d7ac187c0; 606; 608;
cell_8/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac187c0; 1,176,7,7@0x7d7ac18810; 607; 609;
cell_8/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18810; 1,176,7,7@0x7d7ac18860; 608; 610;
cell_8/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac18860; 1,176,7,7@0x7d7ac188b0; 609; 616;
cell_8/comb_iter_0/right/Relu 1,176,7,7@0x7d7ac18680; 1,176,7,7@0x7d7ac18900; 602; 612;
cell_8/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18900; 1,176,7,7@0x7d7ac18950; 611; 613;
cell_8/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac18950; 1,176,7,7@0x7d7ac189a0; 612; 614;
cell_8/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac189a0; 1,176,7,7@0x7d7ac189f0; 613; 615;
cell_8/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac189f0; 1,176,7,7@0x7d7ac18a40; 614; 616;
cell_8/comb_iter_0/combine/add 1,176,7,7@0x7d7ac188b0;1,176,7,7@0x7d7ac18a40; 1,176,7,7@0x7d7ac18a90; 610;615; 645;
cell_8/comb_iter_1/left/Relu 1,176,7,7@0x7d7ac18680; 1,176,7,7@0x7d7ac18ae0; 602; 618;
cell_8/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18ae0; 1,176,7,7@0x7d7ac18b30; 617; 619;
cell_8/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac18b30; 1,176,7,7@0x7d7ac18b80; 618; 620;
cell_8/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18b80; 1,176,7,7@0x7d7ac18bd0; 619; 621;
cell_8/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac18bd0; 1,176,7,7@0x7d7ac18c20; 620; 627;
cell_8/comb_iter_1/right/Relu 1,176,7,7@0x7d7ac18680; 1,176,7,7@0x7d7ac18c70; 602; 623;
cell_8/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18c70; 1,176,7,7@0x7d7ac18cc0; 622; 624;
cell_8/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac18cc0; 1,176,7,7@0x7d7ac18d10; 623; 625;
cell_8/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18d10; 1,176,7,7@0x7d7ac18d60; 624; 626;
cell_8/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac18d60; 1,176,7,7@0x7d7ac18db0; 625; 627;
cell_8/comb_iter_1/combine/add 1,176,7,7@0x7d7ac18c20;1,176,7,7@0x7d7ac18db0; 1,176,7,7@0x7d7ac18e00; 621;626; 645;
cell_8/comb_iter_2/left/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac18720; 1,176,7,7@0x7d7ac18e50; 605; 629;
cell_8/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_8/comb_iter_2/combine/add 1,176,7,7@0x7d7ac18e50; 1,176,7,7@0x7d7adfb5e0; 628; 631;
cell_8/final_path_bn/FusedBatchNormV3___tr4cell_8/comb_iter_2/combine/add 1,176,7,7@0x7d7ac18680; 1,176,7,7@0x7d7adfb630; 602; 631;
cell_8/comb_iter_2/combine/add 1,176,7,7@0x7d7adfb5e0;1,176,7,7@0x7d7adfb630; 1,176,7,7@0x7d7ac18ea0; 629;630; 643;
cell_8/comb_iter_3/left/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac18680; 1,176,7,7@0x7d7ac18ef0; 602; 634;
cell_8/comb_iter_3/right/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac18680; 1,176,7,7@0x7d7ac18f40; 602; 635;
cell_8/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_8/comb_iter_3/combine/add 1,176,7,7@0x7d7ac18ef0; 1,176,7,7@0x7d7adfb680; 632; 636;
cell_8/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_8/comb_iter_3/combine/add 1,176,7,7@0x7d7ac18f40; 1,176,7,7@0x7d7adfb6d0; 633; 636;
cell_8/comb_iter_3/combine/add 1,176,7,7@0x7d7adfb680;1,176,7,7@0x7d7adfb6d0; 1,176,7,7@0x7d7ac18f90; 634;635; 644;
cell_8/comb_iter_4/left/Relu 1,176,7,7@0x7d7ac18720; 1,176,7,7@0x7d7ac18fe0; 605; 638;
cell_8/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac18fe0; 1,176,7,7@0x7d7ac19030; 637; 639;
cell_8/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac19030; 1,176,7,7@0x7d7ac19080; 638; 640;
cell_8/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19080; 1,176,7,7@0x7d7ac190d0; 639; 641;
cell_8/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac190d0; 1,176,7,7@0x7d7ac19120; 640; 642;
cell_8/comb_iter_4/combine/add 1,176,7,7@0x7d7ac19120;1,176,7,7@0x7d7ac18720; 1,176,7,7@0x7d7ac19170; 605;641; 645;
cell_8/comb_iter_2/combine/add___tr4cell_8/cell_output/concat 1,176,7,7@0x7d7ac18ea0; 1,176,7,7@0x7d7adfb720; 631; 645;
cell_8/comb_iter_3/combine/add___tr4cell_8/cell_output/concat 1,176,7,7@0x7d7ac18f90; 1,176,7,7@0x7d7adfb770; 636; 645;
cell_8/cell_output/concat 1,176,7,7@0x7d7ac18680;1,176,7,7@0x7d7ac18a90;1,176,7,7@0x7d7ac18e00;1,176,7,7@0x7d7adfb720;1,176,7,7@0x7d7adfb770;1,176,7,7@0x7d7ac19170; 1,1056,7,7@0x7d7ac191c0; 602;616;627;642;643;644; 646;690;
cell_9/Relu_1 1,1056,7,7@0x7d7ac191c0; 1,1056,7,7@0x7d7ac19210; 645; 647;
cell_9/1x1/Conv2D 1,1056,7,7@0x7d7ac19210; 1,176,7,7@0x7d7ac19260; 646; 648;670;679;684;
cell_9/comb_iter_0/left/Relu 1,176,7,7@0x7d7ac19260; 1,176,7,7@0x7d7ac192b0; 647; 649;
cell_9/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac192b0; 1,176,7,7@0x7d7ac19300; 648; 650;
cell_9/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac19300; 1,176,7,7@0x7d7ac19350; 649; 651;
cell_9/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19350; 1,176,7,7@0x7d7ac193a0; 650; 652;
cell_9/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac193a0; 1,176,7,7@0x7d7ac193f0; 651; 658;
cell_9/comb_iter_0/right/Relu 1,176,7,7@0x7d7ac18270; 1,176,7,7@0x7d7ac19440; 585; 654;
cell_9/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19440; 1,176,7,7@0x7d7ac19490; 653; 655;
cell_9/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac19490; 1,176,7,7@0x7d7ac194e0; 654; 656;
cell_9/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac194e0; 1,176,7,7@0x7d7ac19530; 655; 657;
cell_9/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac19530; 1,176,7,7@0x7d7ac19580; 656; 658;
cell_9/comb_iter_0/combine/add 1,176,7,7@0x7d7ac193f0;1,176,7,7@0x7d7ac19580; 1,176,7,7@0x7d7ac195d0; 652;657; 687;
cell_9/comb_iter_1/left/Relu 1,176,7,7@0x7d7ac18270; 1,176,7,7@0x7d7ac19620; 585; 660;
cell_9/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19620; 1,176,7,7@0x7d7ac19670; 659; 661;
cell_9/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,176,7,7@0x7d7ac19670; 1,176,7,7@0x7d7ac196c0; 660; 662;
cell_9/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac196c0; 1,176,7,7@0x7d7ac19710; 661; 663;
cell_9/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,176,7,7@0x7d7ac19710; 1,176,7,7@0x7d7ac19760; 662; 669;
cell_9/comb_iter_1/right/Relu 1,176,7,7@0x7d7ac18270; 1,176,7,7@0x7d7ac197b0; 585; 665;
cell_9/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac197b0; 1,176,7,7@0x7d7ac19800; 664; 666;
cell_9/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac19800; 1,176,7,7@0x7d7ac19850; 665; 667;
cell_9/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19850; 1,176,7,7@0x7d7ac198a0; 666; 668;
cell_9/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac198a0; 1,176,7,7@0x7d7ac198f0; 667; 669;
cell_9/comb_iter_1/combine/add 1,176,7,7@0x7d7ac19760;1,176,7,7@0x7d7ac198f0; 1,176,7,7@0x7d7ac19940; 663;668; 687;
cell_9/comb_iter_2/left/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac19260; 1,176,7,7@0x7d7ac19990; 647; 671;
cell_9/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_9/comb_iter_2/combine/add 1,176,7,7@0x7d7ac19990; 1,176,7,7@0x7d7adfb7c0; 670; 673;
cell_9/prev_bn/FusedBatchNormV3___tr4cell_9/comb_iter_2/combine/add 1,176,7,7@0x7d7ac18270; 1,176,7,7@0x7d7adfb810; 585; 673;
cell_9/comb_iter_2/combine/add 1,176,7,7@0x7d7adfb7c0;1,176,7,7@0x7d7adfb810; 1,176,7,7@0x7d7ac199e0; 671;672; 685;
cell_9/comb_iter_3/left/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac18270; 1,176,7,7@0x7d7ac19a30; 585; 676;
cell_9/comb_iter_3/right/AvgPool2D/AvgPool 1,176,7,7@0x7d7ac18270; 1,176,7,7@0x7d7ac19a80; 585; 677;
cell_9/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_9/comb_iter_3/combine/add 1,176,7,7@0x7d7ac19a30; 1,176,7,7@0x7d7adfb860; 674; 678;
cell_9/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_9/comb_iter_3/combine/add 1,176,7,7@0x7d7ac19a80; 1,176,7,7@0x7d7adfb8b0; 675; 678;
cell_9/comb_iter_3/combine/add 1,176,7,7@0x7d7adfb860;1,176,7,7@0x7d7adfb8b0; 1,176,7,7@0x7d7ac19ad0; 676;677; 686;
cell_9/comb_iter_4/left/Relu 1,176,7,7@0x7d7ac19260; 1,176,7,7@0x7d7ac19b20; 647; 680;
cell_9/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19b20; 1,176,7,7@0x7d7ac19b70; 679; 681;
cell_9/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,176,7,7@0x7d7ac19b70; 1,176,7,7@0x7d7ac19bc0; 680; 682;
cell_9/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,176,7,7@0x7d7ac19bc0; 1,176,7,7@0x7d7ac19c10; 681; 683;
cell_9/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,176,7,7@0x7d7ac19c10; 1,176,7,7@0x7d7ac19c60; 682; 684;
cell_9/comb_iter_4/combine/add 1,176,7,7@0x7d7ac19c60;1,176,7,7@0x7d7ac19260; 1,176,7,7@0x7d7ac19cb0; 647;683; 687;
cell_9/comb_iter_2/combine/add___tr4cell_9/cell_output/concat 1,176,7,7@0x7d7ac199e0; 1,176,7,7@0x7d7adfb900; 673; 687;
cell_9/comb_iter_3/combine/add___tr4cell_9/cell_output/concat 1,176,7,7@0x7d7ac19ad0; 1,176,7,7@0x7d7adfb950; 678; 687;
cell_9/cell_output/concat 1,176,7,7@0x7d7ac18270;1,176,7,7@0x7d7ac195d0;1,176,7,7@0x7d7ac19940;1,176,7,7@0x7d7adfb900;1,176,7,7@0x7d7adfb950;1,176,7,7@0x7d7ac19cb0; 1,1056,7,7@0x7d7ac19d00; 585;658;669;684;685;686; 688;692;
cell_11/Relu 1,1056,7,7@0x7d7ac19d00; 1,1056,7,7@0x7d7ac19d50; 687; 689;
cell_11/prev_1x1/Conv2D 1,1056,7,7@0x7d7ac19d50; 1,176,7,7@0x7d7ac19da0; 688; 741;747;752;760;762;763;775;
cell_10/Relu 1,1056,7,7@0x7d7ac191c0; 1,1056,7,7@0x7d7ac19df0; 645; 691;
cell_10/prev_1x1/Conv2D 1,1056,7,7@0x7d7ac19df0; 1,176,7,7@0x7d7ac19e40; 690; 699;705;710;718;720;721;733;
cell_10/Relu_1 1,1056,7,7@0x7d7ac19d00; 1,1056,7,7@0x7d7ac19e90; 687; 693;
