conv0/Conv2D 1,3,331,331@0x722703b810; 1,96,165,165@0x722703b860; none 1;27;32;35;66;
cell_stem_1/cell_output/concat 1,108,42,42@0x722703bea0;1,108,42,42@0x722703cf30;1,108,42,42@0x720c1fece0;1,108,42,42@0x722703d4d0;1,108,42,42@0x720c1fed30; 1,540,42,42@0x722703d7a0; 26;87;107;116;117; 119;157;
cell_1/Relu 1,540,42,42@0x722703d7a0; 1,540,42,42@0x722703d7f0; 118; 120;
cell_1/Relu___tr4cell_1/prev_1x1/Conv2D 1,540,42,42@0x722703d7f0; 1,540,42,42@0x720c1fed80; 119; 121;
cell_1/prev_1x1/Conv2D 1,540,42,42@0x720c1fed80; 1,216,42,42@0x722703d840; 120; 122;127;230;
cell_1/comb_iter_0/left/Relu 1,216,42,42@0x722703d840; 1,216,42,42@0x722703d890; 121; 123;
cell_1/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,216,42,42@0x722703d890; 1,216,42,42@0x722703d8e0; 122; 124;
cell_1/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,216,42,42@0x722703d8e0; 1,216,42,42@0x722703d930; 123; 125;
cell_1/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,216,42,42@0x722703d930; 1,216,42,42@0x722703d980; 124; 126;
cell_1/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,216,42,42@0x722703d980; 1,216,42,42@0x722703d9d0; 125; 128;
cell_1/comb_iter_0/right/MaxPool2D/MaxPool 1,216,42,42@0x722703d840; 1,216,42,42@0x722703da20; 121; 129;
cell_1/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_1/comb_iter_0/combine/add 1,216,42,42@0x722703d9d0; 1,216,42,42@0x720c1fedd0; 126; 130;
cell_1/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_1/comb_iter_0/combine/add 1,216,42,42@0x722703da20; 1,216,42,42@0x720c1fee20; 127; 130;
cell_1/comb_iter_0/combine/add 1,216,42,42@0x720c1fedd0;1,216,42,42@0x720c1fee20; 1,216,42,42@0x722703da70; 128;129; 238;
cell_0/Relu 1,270,83,83@0x722703cc60; 1,270,83,83@0x722703dac0; 76; 132;137;
cell_0/AvgPool2D 1,270,83,83@0x722703dac0; 1,270,42,42@0x722703db10; 131; 133;
cell_0/path1_conv/Conv2D 1,270,42,42@0x722703db10; 1,108,42,42@0x722703db60; 132; 146;
cell_0/Pad/paddings none 4,0,2,0@0x722703dbb0; none 136;
cell_0/Pad_Gather_Index none 4,0,0,0@0x720c1fe7e0; none 136;
cell_0/Pad_Gather 4,0,2,0@0x722703dbb0;4,0,0,0@0x720c1fe7e0; 4,0,2,0@0x720c1fe830; 134;135; 137;
cell_0/Pad 1,270,83,83@0x722703dac0;4,0,2,0@0x720c1fe830; 1,270,84,84@0x722703dc00; 131;136; 141;
cell_0/strided_slice/stack none 4,0,0,0@0x722703dc50; none 142;
cell_0/strided_slice/stack_1 none 4,0,0,0@0x722703dca0; none 142;
cell_0/strided_slice/stack_2 none 4,0,0,0@0x722703dcf0; none 142;
cell_0/Pad___tr4cell_0/strided_slice 1,270,84,84@0x722703dc00; 1,270,84,84@0x720c1fee70; 137; 142;
cell_0/strided_slice 1,270,84,84@0x720c1fee70;4,0,0,0@0x722703dc50;4,0,0,0@0x722703dca0;4,0,0,0@0x722703dcf0; 1,270,83,83@0x722703dd40; 138;139;140;141; 143;
cell_0/strided_slice___tr4cell_0/AvgPool2D_1 1,270,83,83@0x722703dd40; 1,270,83,83@0x720c1feec0; 142; 144;
cell_0/AvgPool2D_1 1,270,83,83@0x720c1feec0; 1,270,42,42@0x722703dd90; 143; 145;
cell_0/path2_conv/Conv2D 1,270,42,42@0x722703dd90; 1,108,42,42@0x722703dde0; 144; 146;
cell_0/concat 1,108,42,42@0x722703db60;1,108,42,42@0x722703dde0; 1,216,42,42@0x722703de30; 133;145; 147;
cell_0/final_path_bn/FusedBatchNormV3 1,216,42,42@0x722703de30; 1,216,42,42@0x722703de80; 146; 148;153;189;
cell_0/comb_iter_0/left/Relu 1,216,42,42@0x722703de80; 1,216,42,42@0x722703ded0; 147; 149;
cell_0/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,216,42,42@0x722703ded0; 1,216,42,42@0x722703df20; 148; 150;
cell_0/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,216,42,42@0x722703df20; 1,216,42,42@0x722703df70; 149; 151;
cell_0/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,216,42,42@0x722703df70; 1,216,42,42@0x722703dfc0; 150; 152;
cell_0/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,216,42,42@0x722703dfc0; 1,216,42,42@0x722703e010; 151; 154;
cell_0/comb_iter_0/right/MaxPool2D/MaxPool 1,216,42,42@0x722703de80; 1,216,42,42@0x722703e060; 147; 155;
cell_0/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_0/comb_iter_0/combine/add 1,216,42,42@0x722703e010; 1,216,42,42@0x720c1fef10; 152; 156;
cell_0/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_0/comb_iter_0/combine/add 1,216,42,42@0x722703e060; 1,216,42,42@0x720c1fef60; 153; 156;
cell_0/comb_iter_0/combine/add 1,216,42,42@0x720c1fef10;1,216,42,42@0x720c1fef60; 1,216,42,42@0x722703e0b0; 154;155; 197;
cell_0/Relu_1 1,540,42,42@0x722703d7a0; 1,540,42,42@0x722703e100; 118; 158;
cell_0/Relu_1___tr4cell_0/1x1/Conv2D 1,540,42,42@0x722703e100; 1,540,42,42@0x720c1fefb0; 157; 159;
cell_0/1x1/Conv2D 1,540,42,42@0x720c1fefb0; 1,216,42,42@0x722703e150; 158; 160;165;169;174;185;194;
cell_0/comb_iter_1/left/Relu 1,216,42,42@0x722703e150; 1,216,42,42@0x722703e1a0; 159; 161;
cell_0/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,216,42,42@0x722703e1a0; 1,216,42,42@0x722703e1f0; 160; 162;
cell_0/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,216,42,42@0x722703e1f0; 1,216,42,42@0x722703e240; 161; 163;
cell_0/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,216,42,42@0x722703e240; 1,216,42,42@0x722703e290; 162; 164;
cell_0/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,216,42,42@0x722703e290; 1,216,42,42@0x722703e2e0; 163; 166;
cell_0/comb_iter_1/right/MaxPool2D/MaxPool 1,216,42,42@0x722703e150; 1,216,42,42@0x722703e330; 159; 167;
cell_0/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_0/comb_iter_1/combine/add 1,216,42,42@0x722703e2e0; 1,216,42,42@0x720c3fa000; 164; 168;
cell_0/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_0/comb_iter_1/combine/add 1,216,42,42@0x722703e330; 1,216,42,42@0x720c3fa050; 165; 168;
cell_0/comb_iter_1/combine/add 1,216,42,42@0x720c3fa000;1,216,42,42@0x720c3fa050; 1,216,42,42@0x722703e380; 166;167; 197;
cell_0/comb_iter_2/left/Relu 1,216,42,42@0x722703e150; 1,216,42,42@0x722703e3d0; 159; 170;
cell_0/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,216,42,42@0x722703e3d0; 1,216,42,42@0x722703e420; 169; 171;
cell_0/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,216,42,42@0x722703e420; 1,216,42,42@0x722703e470; 170; 172;
cell_0/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,216,42,42@0x722703e470; 1,216,42,42@0x722703e4c0; 171; 173;
cell_0/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,216,42,42@0x722703e4c0; 1,216,42,42@0x722703e510; 172; 179;
cell_0/comb_iter_2/right/Relu 1,216,42,42@0x722703e150; 1,216,42,42@0x722703e560; 159; 175;
cell_0/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x722703e560; 1,216,42,42@0x722703e5b0; 174; 176;
cell_0/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,216,42,42@0x722703e5b0; 1,216,42,42@0x722703e600; 175; 177;
cell_0/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x722703e600; 1,216,42,42@0x722703e650; 176; 178;
cell_0/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,216,42,42@0x722703e650; 1,216,42,42@0x722703e6a0; 177; 179;
cell_0/comb_iter_2/combine/add 1,216,42,42@0x722703e510;1,216,42,42@0x722703e6a0; 1,216,42,42@0x722703e6f0; 173;178; 180;195;
cell_0/comb_iter_3/left/Relu 1,216,42,42@0x722703e6f0; 1,216,42,42@0x722703e740; 179; 181;
cell_0/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,216,42,42@0x722703e740; 1,216,42,42@0x722703e790; 180; 182;
cell_0/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,216,42,42@0x722703e790; 1,216,42,42@0x722703e7e0; 181; 183;
cell_0/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,216,42,42@0x722703e7e0; 1,216,42,42@0x722703e830; 182; 184;
cell_0/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,216,42,42@0x722703e830; 1,216,42,42@0x722703e880; 183; 186;
cell_0/comb_iter_3/right/MaxPool2D/MaxPool 1,216,42,42@0x722703e150; 1,216,42,42@0x722703e8d0; 159; 187;
cell_0/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_0/comb_iter_3/combine/add 1,216,42,42@0x722703e880; 1,216,42,42@0x720c3fa0a0; 184; 188;
cell_0/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_0/comb_iter_3/combine/add 1,216,42,42@0x722703e8d0; 1,216,42,42@0x720c3fa0f0; 185; 188;
