conv0/Conv2D 1,3,331,331@0x722703b810; 1,96,165,165@0x722703b860; none 1;27;32;35;66;
cell_7/comb_iter_3/combine/add 1,432,21,21@0x720c3fb5e0;1,432,21,21@0x720c3fb630; 1,432,21,21@0x720c1fa870; 559;560; 570;
cell_7/comb_iter_4/left/Relu 1,432,21,21@0x7227174060; 1,432,21,21@0x720c1fa8c0; 467; 563;
cell_7/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,432,21,21@0x720c1fa8c0; 1,432,21,21@0x720c1fa910; 562; 564;
cell_7/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,432,21,21@0x720c1fa910; 1,432,21,21@0x720c1fa960; 563; 565;
cell_7/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,432,21,21@0x720c1fa960; 1,432,21,21@0x720c1fa9b0; 564; 566;
cell_7/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,432,21,21@0x720c1fa9b0; 1,432,21,21@0x720c1faa00; 565; 567;
cell_7/comb_iter_4/combine/add 1,432,21,21@0x720c1faa00;1,432,21,21@0x720c1fa0a0; 1,432,21,21@0x720c1faa50; 532;566; 569;
cell_7/comb_iter_2/combine/add___tr4cell_7/cell_output/concat 1,432,21,21@0x720c1fa640; 1,432,21,21@0x720c3fb680; 552; 570;
cell_7/comb_iter_4/combine/add___tr4cell_7/cell_output/concat 1,432,21,21@0x720c1faa50; 1,432,21,21@0x720c3fb6d0; 567; 570;
cell_7/cell_output/concat 1,432,21,21@0x7227174290;1,432,21,21@0x720c1fa2d0;1,432,21,21@0x720c3fb680;1,432,21,21@0x720c1fa870;1,432,21,21@0x720c3fb6d0; 1,2160,21,21@0x720c1faaa0; 476;541;561;568;569; 571;607;
cell_9/Relu 1,2160,21,21@0x720c1faaa0; 1,2160,21,21@0x720c1faaf0; 570; 572;576;
cell_9/Relu___tr4cell_9/AvgPool2D 1,2160,21,21@0x720c1faaf0; 1,2160,21,21@0x720c3fb720; 571; 573;
cell_9/AvgPool2D 1,2160,21,21@0x720c3fb720; 1,2160,11,11@0x720c1fab40; 572; 574;
cell_9/path1_conv/Conv2D 1,2160,11,11@0x720c1fab40; 1,432,11,11@0x720c1fab90; 573; 584;
cell_9/Pad/paddings none 4,0,2,0@0x720c1fabe0; none 576;
cell_9/Pad 1,2160,21,21@0x720c1faaf0;4,0,2,0@0x720c1fabe0; 1,2160,22,22@0x720c1fac30; 571;575; 580;
cell_9/strided_slice/stack none 4,0,0,0@0x720c1fac80; none 580;
cell_9/strided_slice/stack_1 none 4,0,0,0@0x720c1facd0; none 580;
cell_9/strided_slice/stack_2 none 4,0,0,0@0x720c1fad20; none 580;
cell_9/strided_slice 1,2160,22,22@0x720c1fac30;4,0,0,0@0x720c1fac80;4,0,0,0@0x720c1facd0;4,0,0,0@0x720c1fad20; 1,2160,21,21@0x720c1fad70; 576;577;578;579; 581;
cell_9/strided_slice___tr4cell_9/AvgPool2D_1 1,2160,21,21@0x720c1fad70; 1,2160,21,21@0x720c3fb770; 580; 582;
cell_9/AvgPool2D_1 1,2160,21,21@0x720c3fb770; 1,2160,11,11@0x720c1fadc0; 581; 583;
cell_9/path2_conv/Conv2D 1,2160,11,11@0x720c1fadc0; 1,432,11,11@0x720c1fae10; 582; 584;
cell_9/concat 1,432,11,11@0x720c1fab90;1,432,11,11@0x720c1fae10; 1,864,11,11@0x720c1fae60; 574;583; 585;
cell_9/final_path_bn/FusedBatchNormV3 1,864,11,11@0x720c1fae60; 1,864,11,11@0x720c1faeb0; 584; 586;591;682;
cell_9/comb_iter_0/left/Relu 1,864,11,11@0x720c1faeb0; 1,864,11,11@0x720c1faf00; 585; 587;
cell_9/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,864,11,11@0x720c1faf00; 1,864,11,11@0x720c1faf50; 586; 588;
cell_9/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,864,11,11@0x720c1faf50; 1,864,11,11@0x720c1fafa0; 587; 589;
cell_9/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fafa0; 1,864,11,11@0x720c1faff0; 588; 590;
cell_9/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,864,11,11@0x720c1faff0; 1,864,11,11@0x720c1fb040; 589; 592;
cell_9/comb_iter_0/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1faeb0; 1,864,11,11@0x720c1fb090; 585; 593;
cell_9/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_9/comb_iter_0/combine/add 1,864,11,11@0x720c1fb040; 1,864,11,11@0x720c3fb7c0; 590; 594;
cell_9/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_9/comb_iter_0/combine/add 1,864,11,11@0x720c1fb090; 1,864,11,11@0x720c3fb810; 591; 594;
cell_9/comb_iter_0/combine/add 1,864,11,11@0x720c3fb7c0;1,864,11,11@0x720c3fb810; 1,864,11,11@0x720c1fb0e0; 592;593; 690;
cell_8/Relu 1,2160,21,21@0x720c1fa000; 1,2160,21,21@0x720c1fb130; 529; 596;
cell_8/Relu___tr4cell_8/prev_1x1/Conv2D 1,2160,21,21@0x720c1fb130; 1,2160,21,21@0x720c3fb860; 595; 597;
cell_8/prev_1x1/Conv2D 1,2160,21,21@0x720c3fb860; 1,864,21,21@0x720c1fb180; 596; 598;603;639;
cell_8/comb_iter_0/left/Relu 1,864,21,21@0x720c1fb180; 1,864,21,21@0x720c1fb1d0; 597; 599;
cell_8/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,864,21,21@0x720c1fb1d0; 1,864,11,11@0x720c1fb220; 598; 600;
cell_8/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,864,11,11@0x720c1fb220; 1,864,11,11@0x720c1fb270; 599; 601;
cell_8/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fb270; 1,864,11,11@0x720c1fb2c0; 600; 602;
cell_8/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,864,11,11@0x720c1fb2c0; 1,864,11,11@0x720c1fb310; 601; 604;
cell_8/comb_iter_0/right/MaxPool2D/MaxPool 1,864,21,21@0x720c1fb180; 1,864,11,11@0x720c1fb360; 597; 605;
cell_8/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_8/comb_iter_0/combine/add 1,864,11,11@0x720c1fb310; 1,864,11,11@0x720c3fb8b0; 602; 606;
cell_8/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_8/comb_iter_0/combine/add 1,864,11,11@0x720c1fb360; 1,864,11,11@0x720c3fb900; 603; 606;
cell_8/comb_iter_0/combine/add 1,864,11,11@0x720c3fb8b0;1,864,11,11@0x720c3fb900; 1,864,11,11@0x720c1fb3b0; 604;605; 649;
cell_8/Relu_1 1,2160,21,21@0x720c1faaa0; 1,2160,21,21@0x720c1fb400; 570; 608;
cell_8/Relu_1___tr4cell_8/1x1/Conv2D 1,2160,21,21@0x720c1fb400; 1,2160,21,21@0x720c3fb950; 607; 609;
cell_8/1x1/Conv2D 1,2160,21,21@0x720c3fb950; 1,864,21,21@0x720c1fb450; 608; 610;615;619;624;635;644;
cell_8/comb_iter_1/left/Relu 1,864,21,21@0x720c1fb450; 1,864,21,21@0x720c1fb4a0; 609; 611;
cell_8/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,864,21,21@0x720c1fb4a0; 1,864,11,11@0x720c1fb4f0; 610; 612;
cell_8/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,864,11,11@0x720c1fb4f0; 1,864,11,11@0x720c1fb540; 611; 613;
cell_8/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fb540; 1,864,11,11@0x720c1fb590; 612; 614;
cell_8/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,864,11,11@0x720c1fb590; 1,864,11,11@0x720c1fb5e0; 613; 616;
cell_8/comb_iter_1/right/MaxPool2D/MaxPool 1,864,21,21@0x720c1fb450; 1,864,11,11@0x720c1fb630; 609; 617;
cell_8/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_8/comb_iter_1/combine/add 1,864,11,11@0x720c1fb5e0; 1,864,11,11@0x720c3fb9a0; 614; 618;
cell_8/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_8/comb_iter_1/combine/add 1,864,11,11@0x720c1fb630; 1,864,11,11@0x720c3fb9f0; 615; 618;
cell_8/comb_iter_1/combine/add 1,864,11,11@0x720c3fb9a0;1,864,11,11@0x720c3fb9f0; 1,864,11,11@0x720c1fb680; 616;617; 649;
cell_8/comb_iter_2/left/Relu 1,864,21,21@0x720c1fb450; 1,864,21,21@0x720c1fb6d0; 609; 620;
cell_8/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,864,21,21@0x720c1fb6d0; 1,864,11,11@0x720c1fb720; 619; 621;
cell_8/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,864,11,11@0x720c1fb720; 1,864,11,11@0x720c1fb770; 620; 622;
cell_8/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fb770; 1,864,11,11@0x720c1fb7c0; 621; 623;
cell_8/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,864,11,11@0x720c1fb7c0; 1,864,11,11@0x720c1fb810; 622; 629;
cell_8/comb_iter_2/right/Relu 1,864,21,21@0x720c1fb450; 1,864,21,21@0x720c1fb860; 609; 625;
cell_8/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,864,21,21@0x720c1fb860; 1,864,11,11@0x720c1fb8b0; 624; 626;
cell_8/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fb8b0; 1,864,11,11@0x720c1fb900; 625; 627;
cell_8/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fb900; 1,864,11,11@0x720c1fb950; 626; 628;
cell_8/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fb950; 1,864,11,11@0x720c1fb9a0; 627; 629;
cell_8/comb_iter_2/combine/add 1,864,11,11@0x720c1fb810;1,864,11,11@0x720c1fb9a0; 1,864,11,11@0x720c1fb9f0; 623;628; 630;647;
cell_8/comb_iter_3/left/Relu 1,864,11,11@0x720c1fb9f0; 1,864,11,11@0x720c1fba40; 629; 631;
cell_8/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fba40; 1,864,11,11@0x720c1fba90; 630; 632;
cell_8/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fba90; 1,864,11,11@0x720c1fbae0; 631; 633;
cell_8/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fbae0; 1,864,11,11@0x720c1fbb30; 632; 634;
cell_8/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fbb30; 1,864,11,11@0x720c1fbb80; 633; 636;
cell_8/comb_iter_3/right/MaxPool2D/MaxPool 1,864,21,21@0x720c1fb450; 1,864,11,11@0x720c1fbbd0; 609; 637;
cell_8/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_8/comb_iter_3/combine/add 1,864,11,11@0x720c1fbb80; 1,864,11,11@0x720c3fba40; 634; 638;
cell_8/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_8/comb_iter_3/combine/add 1,864,11,11@0x720c1fbbd0; 1,864,11,11@0x720c3fba90; 635; 638;
cell_8/comb_iter_3/combine/add 1,864,11,11@0x720c3fba40;1,864,11,11@0x720c3fba90; 1,864,11,11@0x720c1fbc20; 636;637; 649;
cell_8/comb_iter_4/left/Relu 1,864,21,21@0x720c1fb180; 1,864,21,21@0x720c1fbc70; 597; 640;
cell_8/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,864,21,21@0x720c1fbc70; 1,864,11,11@0x720c1fbcc0; 639; 641;
cell_8/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fbcc0; 1,864,11,11@0x720c1fbd10; 640; 642;
cell_8/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fbd10; 1,864,11,11@0x720c1fbd60; 641; 643;
cell_8/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fbd60; 1,864,11,11@0x720c1fbdb0; 642; 646;
cell_8/comb_iter_4/right/Relu 1,864,21,21@0x720c1fb450; 1,864,21,21@0x720c1fbe00; 609; 645;
cell_8/comb_iter_4/right/1x1/Conv2D 1,864,21,21@0x720c1fbe00; 1,864,11,11@0x720c1fbe50; 644; 646;
cell_8/comb_iter_4/combine/add 1,864,11,11@0x720c1fbdb0;1,864,11,11@0x720c1fbe50; 1,864,11,11@0x720c1fbea0; 643;645; 648;
cell_8/comb_iter_2/combine/add___tr4cell_8/cell_output/concat 1,864,11,11@0x720c1fb9f0; 1,864,11,11@0x720c3fbae0; 629; 649;
cell_8/comb_iter_4/combine/add___tr4cell_8/cell_output/concat 1,864,11,11@0x720c1fbea0; 1,864,11,11@0x720c3fbb30; 646; 649;
cell_8/cell_output/concat 1,864,11,11@0x720c1fb3b0;1,864,11,11@0x720c1fb680;1,864,11,11@0x720c3fbae0;1,864,11,11@0x720c1fbc20;1,864,11,11@0x720c3fbb30; 1,4320,11,11@0x720c1fbef0; 606;618;638;647;648; 650;703;
cell_9/Relu_1 1,4320,11,11@0x720c1fbef0; 1,4320,11,11@0x720c1fbf40; 649; 651;
cell_9/Relu_1___tr4cell_9/1x1/Conv2D 1,4320,11,11@0x720c1fbf40; 1,4320,11,11@0x720c3fbb80; 650; 652;
cell_9/1x1/Conv2D 1,4320,11,11@0x720c3fbb80; 1,864,11,11@0x720c1fbf90; 651; 653;658;662;667;678;687;
cell_9/comb_iter_1/left/Relu 1,864,11,11@0x720c1fbf90; 1,864,11,11@0x720c1fbfe0; 652; 654;
cell_9/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fbfe0; 1,864,11,11@0x720c1fc030; 653; 655;
cell_9/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,864,11,11@0x720c1fc030; 1,864,11,11@0x720c1fc080; 654; 656;
cell_9/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fc080; 1,864,11,11@0x720c1fc0d0; 655; 657;
cell_9/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,864,11,11@0x720c1fc0d0; 1,864,11,11@0x720c1fc120; 656; 659;
cell_9/comb_iter_1/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1fbf90; 1,864,11,11@0x720c1fc170; 652; 660;
cell_9/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_9/comb_iter_1/combine/add 1,864,11,11@0x720c1fc120; 1,864,11,11@0x720c3fbbd0; 657; 661;
cell_9/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_9/comb_iter_1/combine/add 1,864,11,11@0x720c1fc170; 1,864,11,11@0x720c3fbc20; 658; 661;
cell_9/comb_iter_1/combine/add 1,864,11,11@0x720c3fbbd0;1,864,11,11@0x720c3fbc20; 1,864,11,11@0x720c1fc1c0; 659;660; 690;
cell_9/comb_iter_2/left/Relu 1,864,11,11@0x720c1fbf90; 1,864,11,11@0x720c1fc210; 652; 663;
cell_9/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fc210; 1,864,11,11@0x720c1fc260; 662; 664;
cell_9/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,864,11,11@0x720c1fc260; 1,864,11,11@0x720c1fc2b0; 663; 665;
cell_9/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fc2b0; 1,864,11,11@0x720c1fc300; 664; 666;
cell_9/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,864,11,11@0x720c1fc300; 1,864,11,11@0x720c1fc350; 665; 672;
cell_9/comb_iter_2/right/Relu 1,864,11,11@0x720c1fbf90; 1,864,11,11@0x720c1fc3a0; 652; 668;
cell_9/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fc3a0; 1,864,11,11@0x720c1fc3f0; 667; 669;
cell_9/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fc3f0; 1,864,11,11@0x720c1fc440; 668; 670;
cell_9/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fc440; 1,864,11,11@0x720c1fc490; 669; 671;
cell_9/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fc490; 1,864,11,11@0x720c1fc4e0; 670; 672;
cell_9/comb_iter_2/combine/add 1,864,11,11@0x720c1fc350;1,864,11,11@0x720c1fc4e0; 1,864,11,11@0x720c1fc530; 666;671; 673;688;
cell_9/comb_iter_3/left/Relu 1,864,11,11@0x720c1fc530; 1,864,11,11@0x720c1fc580; 672; 674;
cell_9/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fc580; 1,864,11,11@0x720c1fc5d0; 673; 675;
cell_9/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fc5d0; 1,864,11,11@0x720c1fc620; 674; 676;
cell_9/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fc620; 1,864,11,11@0x720c1fc670; 675; 677;
cell_9/comb_iter_3/left/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fc670; 1,864,11,11@0x720c1fc6c0; 676; 679;
cell_9/comb_iter_3/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1fbf90; 1,864,11,11@0x720c1fc710; 652; 680;
cell_9/comb_iter_3/left/bn_sep_3x3_2/FusedBatchNormV3___tr4cell_9/comb_iter_3/combine/add 1,864,11,11@0x720c1fc6c0; 1,864,11,11@0x720c3fbc70; 677; 681;
cell_9/comb_iter_3/right/MaxPool2D/MaxPool___tr4cell_9/comb_iter_3/combine/add 1,864,11,11@0x720c1fc710; 1,864,11,11@0x720c3fbcc0; 678; 681;
cell_9/comb_iter_3/combine/add 1,864,11,11@0x720c3fbc70;1,864,11,11@0x720c3fbcc0; 1,864,11,11@0x720c1fc760; 679;680; 690;
cell_9/comb_iter_4/left/Relu 1,864,11,11@0x720c1faeb0; 1,864,11,11@0x720c1fc7b0; 585; 683;
cell_9/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fc7b0; 1,864,11,11@0x720c1fc800; 682; 684;
cell_9/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fc800; 1,864,11,11@0x720c1fc850; 683; 685;
cell_9/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fc850; 1,864,11,11@0x720c1fc8a0; 684; 686;
cell_9/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fc8a0; 1,864,11,11@0x720c1fc8f0; 685; 687;
cell_9/comb_iter_4/combine/add 1,864,11,11@0x720c1fc8f0;1,864,11,11@0x720c1fbf90; 1,864,11,11@0x720c1fc940; 652;686; 689;
cell_9/comb_iter_2/combine/add___tr4cell_9/cell_output/concat 1,864,11,11@0x720c1fc530; 1,864,11,11@0x720c3fbd10; 672; 690;
cell_9/comb_iter_4/combine/add___tr4cell_9/cell_output/concat 1,864,11,11@0x720c1fc940; 1,864,11,11@0x720c3fbd60; 687; 690;
cell_9/cell_output/concat 1,864,11,11@0x720c1fb0e0;1,864,11,11@0x720c1fc1c0;1,864,11,11@0x720c3fbd10;1,864,11,11@0x720c1fc760;1,864,11,11@0x720c3fbd60; 1,4320,11,11@0x720c1fc990; 594;661;681;688;689; 691;715;
cell_11/Relu 1,4320,11,11@0x720c1fc990; 1,4320,11,11@0x720c1fc9e0; 690; 692;
cell_11/Relu___tr4cell_11/prev_1x1/Conv2D 1,4320,11,11@0x720c1fc9e0; 1,4320,11,11@0x720c3fbdb0; 691; 693;
cell_11/prev_1x1/Conv2D 1,4320,11,11@0x720c3fbdb0; 1,864,11,11@0x720c1fca30; 692; 694;699;788;
cell_11/comb_iter_0/left/Relu 1,864,11,11@0x720c1fca30; 1,864,11,11@0x720c1fca80; 693; 695;
cell_11/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fca80; 1,864,11,11@0x720c1fcad0; 694; 696;
cell_11/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,864,11,11@0x720c1fcad0; 1,864,11,11@0x720c1fcb20; 695; 697;
cell_11/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fcb20; 1,864,11,11@0x720c1fcb70; 696; 698;
cell_11/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,864,11,11@0x720c1fcb70; 1,864,11,11@0x720c1fcbc0; 697; 700;
cell_11/comb_iter_0/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1fca30; 1,864,11,11@0x720c1fcc10; 693; 701;
cell_11/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_11/comb_iter_0/combine/add 1,864,11,11@0x720c1fcbc0; 1,864,11,11@0x720c3fbe00; 698; 702;
cell_11/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_11/comb_iter_0/combine/add 1,864,11,11@0x720c1fcc10; 1,864,11,11@0x720c3fbe50; 699; 702;
cell_11/comb_iter_0/combine/add 1,864,11,11@0x720c3fbe00;1,864,11,11@0x720c3fbe50; 1,864,11,11@0x720c1fcc60; 700;701; 796;
cell_10/Relu 1,4320,11,11@0x720c1fbef0; 1,4320,11,11@0x720c1fccb0; 649; 704;
cell_10/Relu___tr4cell_10/prev_1x1/Conv2D 1,4320,11,11@0x720c1fccb0; 1,4320,11,11@0x720c3fbea0; 703; 705;
cell_10/prev_1x1/Conv2D 1,4320,11,11@0x720c3fbea0; 1,864,11,11@0x720c1fcd00; 704; 706;711;747;
cell_10/comb_iter_0/left/Relu 1,864,11,11@0x720c1fcd00; 1,864,11,11@0x720c1fcd50; 705; 707;
cell_10/comb_iter_0/left/separable_5x5_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fcd50; 1,864,11,11@0x720c1fcda0; 706; 708;
cell_10/comb_iter_0/left/separable_5x5_1/separable_conv2d 1,864,11,11@0x720c1fcda0; 1,864,11,11@0x720c1fcdf0; 707; 709;
cell_10/comb_iter_0/left/separable_5x5_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fcdf0; 1,864,11,11@0x720c1fce40; 708; 710;
cell_10/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,864,11,11@0x720c1fce40; 1,864,11,11@0x720c1fce90; 709; 712;
cell_10/comb_iter_0/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1fcd00; 1,864,11,11@0x720c1fcee0; 705; 713;
cell_10/comb_iter_0/left/bn_sep_5x5_2/FusedBatchNormV3___tr4cell_10/comb_iter_0/combine/add 1,864,11,11@0x720c1fce90; 1,864,11,11@0x720c3fbef0; 710; 714;
cell_10/comb_iter_0/right/MaxPool2D/MaxPool___tr4cell_10/comb_iter_0/combine/add 1,864,11,11@0x720c1fcee0; 1,864,11,11@0x720c3fbf40; 711; 714;
cell_10/comb_iter_0/combine/add 1,864,11,11@0x720c3fbef0;1,864,11,11@0x720c3fbf40; 1,864,11,11@0x720c1fcf30; 712;713; 755;
cell_10/Relu_1 1,4320,11,11@0x720c1fc990; 1,4320,11,11@0x720c1fcf80; 690; 716;
cell_10/Relu_1___tr4cell_10/1x1/Conv2D 1,4320,11,11@0x720c1fcf80; 1,4320,11,11@0x720c3fbf90; 715; 717;
cell_10/1x1/Conv2D 1,4320,11,11@0x720c3fbf90; 1,864,11,11@0x720c1fcfd0; 716; 718;723;727;732;743;752;
cell_10/comb_iter_1/left/Relu 1,864,11,11@0x720c1fcfd0; 1,864,11,11@0x720c1fd020; 717; 719;
cell_10/comb_iter_1/left/separable_7x7_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fd020; 1,864,11,11@0x720c1fd070; 718; 720;
cell_10/comb_iter_1/left/separable_7x7_1/separable_conv2d 1,864,11,11@0x720c1fd070; 1,864,11,11@0x720c1fd0c0; 719; 721;
cell_10/comb_iter_1/left/separable_7x7_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fd0c0; 1,864,11,11@0x720c1fd110; 720; 722;
cell_10/comb_iter_1/left/separable_7x7_2/separable_conv2d 1,864,11,11@0x720c1fd110; 1,864,11,11@0x720c1fd160; 721; 724;
cell_10/comb_iter_1/right/MaxPool2D/MaxPool 1,864,11,11@0x720c1fcfd0; 1,864,11,11@0x720c1fd1b0; 717; 725;
cell_10/comb_iter_1/left/bn_sep_7x7_2/FusedBatchNormV3___tr4cell_10/comb_iter_1/combine/add 1,864,11,11@0x720c1fd160; 1,864,11,11@0x720c3fbfe0; 722; 726;
cell_10/comb_iter_1/right/MaxPool2D/MaxPool___tr4cell_10/comb_iter_1/combine/add 1,864,11,11@0x720c1fd1b0; 1,864,11,11@0x720c3fc030; 723; 726;
cell_10/comb_iter_1/combine/add 1,864,11,11@0x720c3fbfe0;1,864,11,11@0x720c3fc030; 1,864,11,11@0x720c1fd200; 724;725; 755;
cell_10/comb_iter_2/left/Relu 1,864,11,11@0x720c1fcfd0; 1,864,11,11@0x720c1fd250; 717; 728;
cell_10/comb_iter_2/left/separable_5x5_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fd250; 1,864,11,11@0x720c1fd2a0; 727; 729;
cell_10/comb_iter_2/left/separable_5x5_1/separable_conv2d 1,864,11,11@0x720c1fd2a0; 1,864,11,11@0x720c1fd2f0; 728; 730;
cell_10/comb_iter_2/left/separable_5x5_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fd2f0; 1,864,11,11@0x720c1fd340; 729; 731;
cell_10/comb_iter_2/left/separable_5x5_2/separable_conv2d 1,864,11,11@0x720c1fd340; 1,864,11,11@0x720c1fd390; 730; 737;
cell_10/comb_iter_2/right/Relu 1,864,11,11@0x720c1fcfd0; 1,864,11,11@0x720c1fd3e0; 717; 733;
cell_10/comb_iter_2/right/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fd3e0; 1,864,11,11@0x720c1fd430; 732; 734;
cell_10/comb_iter_2/right/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fd430; 1,864,11,11@0x720c1fd480; 733; 735;
cell_10/comb_iter_2/right/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fd480; 1,864,11,11@0x720c1fd4d0; 734; 736;
cell_10/comb_iter_2/right/separable_3x3_2/separable_conv2d 1,864,11,11@0x720c1fd4d0; 1,864,11,11@0x720c1fd520; 735; 737;
cell_10/comb_iter_2/combine/add 1,864,11,11@0x720c1fd390;1,864,11,11@0x720c1fd520; 1,864,11,11@0x720c1fd570; 731;736; 738;753;
cell_10/comb_iter_3/left/Relu 1,864,11,11@0x720c1fd570; 1,864,11,11@0x720c1fd5c0; 737; 739;
cell_10/comb_iter_3/left/separable_3x3_1/separable_conv2d/depthwise 1,864,11,11@0x720c1fd5c0; 1,864,11,11@0x720c1fd610; 738; 740;
cell_10/comb_iter_3/left/separable_3x3_1/separable_conv2d 1,864,11,11@0x720c1fd610; 1,864,11,11@0x720c1fd660; 739; 741;
cell_10/comb_iter_3/left/separable_3x3_2/separable_conv2d/depthwise 1,864,11,11@0x720c1fd660; 1,864,11,11@0x720c1fd6b0; 740; 742;
